County_Name,Project_Number,PointID,Elevation,Latitude83,Longitude83,Hole_Type,Bag_Number,LabID,AASHTO_Symbol,AASHTO_Group_Index,USCS_Symbol,USCS_Group_Name,Max_Dry_Density,Opt_Moisture_Content,Method,CBR,Liquid_Limit,Plastic_Limit,Plasticity_Index,Liquidity,Specific_Gravity,PF3,PF2,PF1,PF3_4,PF3_8,PF4,PF10,PF40,PF200,Pct_Clay,Pct_Colloid
Barren,R-066-2007,DSB 65,692.00,36.92,-85.80,cut profile,,With Gravel,A-4,(1),SC,CLAYEY SAND,104.00,18.10,T99C_KYM,3.10,30.24,20.81,9.00,1.14,2.68,100.00,100.00,100.00,100.00,100.00,98.24,90.50,76.74,63.48,23.23,18.67
Barren,R-066-2007,DSB 68,715.20,36.92,-85.79,cut profile,,With Gravel,A-6,(3),SC,CLAYEY SAND,109.10,16.80,T99C_KYM,5.90,35.06,18.18,17.00,0.35,2.71,100.00,100.00,100.00,100.00,100.00,97.13,83.74,71.94,63.89,26.44,20.55
Barren,R-066-2007,DSB 69,725.10,36.92,-85.79,cut profile,,With Gravel,A-6,(3),SC,CLAYEY SAND,108.20,18.00,T99C_KYM,4.10,37.20,21.12,16.00,0.02,2.71,100.00,100.00,100.00,100.00,100.00,96.75,85.96,77.24,69.43,28.07,22.81
Barren,R-066-2007,DSB 70,736.50,36.92,-85.79,cut profile,,With Gravel,A-7-6,(9),SC,CLAYEY SAND,98.24,24.30,T99C_KYM,3.70,60.72,23.88,37.00,0.04,2.78,100.00,100.00,100.00,100.00,100.00,99.44,92.26,85.93,78.71,45.25,40.90
Barren,R-066-2007,DSB 71,741.50,36.92,-85.79,cut profile,,With Gravel,A-7-6,(9),SC,CLAYEY SAND,102.50,16.90,T99C_KYM,1.00,54.86,17.98,37.00,-0.02,2.71,100.00,100.00,100.00,100.00,99.62,99.19,87.01,82.47,76.90,39.05,33.41
Barren,R-066-2007,DSB 76,778.60,36.91,-85.78,cut profile,,With Gravel,A-4,(1),SC,CLAYEY SAND,114.70,14.40,T99C_KYM,6.30,27.95,18.75,9.00,-0.18,2.70,100.00,100.00,100.00,100.00,98.19,93.28,82.87,73.84,64.17,17.08,12.60
Barren,R-066-2007,DSB 78,779.00,36.91,-85.78,cut profile,,With Gravel,A-6,(2),SC,CLAYEY SAND,106.70,17.80,T99C_KYM,1.60,33.02,18.66,14.00,-0.26,2.72,100.00,100.00,100.00,100.00,100.00,99.93,96.62,91.96,81.64,26.23,20.89
Barren,R-066-2007,DSB 82,791.30,36.91,-85.78,cut profile,,With Gravel,A-7-6,(6),SC,CLAYEY SAND,99.13,20.70,T99C_KYM,1.30,48.80,22.27,27.00,-0.08,2.76,100.00,100.00,100.00,100.00,100.00,99.45,96.10,93.90,87.77,46.88,39.44
Barren,R-066-2007,DSB 85,766.00,36.91,-85.78,cut profile,,With Gravel,A-7-6,(7),SC,CLAYEY SAND,105.50,18.80,T99C_KYM,4.70,48.85,20.47,29.00,0.20,2.73,100.00,100.00,100.00,100.00,97.77,94.71,85.42,81.23,73.61,34.94,28.64
Barren,R-066-2007,DSB 92,849.90,36.90,-85.77,cut profile,,With Gravel,A-6,(5),SC,CLAYEY SAND,110.40,16.00,T99C_KYM,2.40,37.29,14.85,22.00,0.37,2.68,100.00,100.00,100.00,100.00,100.00,98.70,86.52,82.80,73.95,25.29,20.82
